ticket,magic,symbol,direction,volume,open_price,close_price,open_time,close_time,profit,commission,swap,comment
286514011,0,BTCUSD.sc,SELL,0.01,64582.81000,64582.81000,2026.06.14 04:37:04,2026.06.14 04:37:04,0.00,0.00,0.00,
286515044,0,BTCUSD.sc,SELL,0.01,64628.19000,64628.19000,2026.06.14 04:51:37,2026.06.14 04:51:37,0.00,0.00,0.00,
286516395,0,BTCUSD.sc,SELL,0.01,64585.91000,64585.91000,2026.06.14 05:10:34,2026.06.14 05:10:34,0.00,0.00,0.00,
286517606,0,BTCUSD.sc,BUY,0.01,64541.35000,64541.35000,2026.06.14 05:28:22,2026.06.14 05:28:22,0.87,0.00,0.00,[tp 64544.28]
286517634,0,BTCUSD.sc,BUY,0.01,64526.95000,64526.95000,2026.06.14 05:28:27,2026.06.14 05:28:27,0.56,0.00,0.00,
286517635,0,BTCUSD.sc,BUY,0.01,64526.95000,64526.95000,2026.06.14 05:28:27,2026.06.14 05:28:27,0.59,0.00,0.00,
286519877,0,BTCUSD.sc,BUY,0.05,64508.76000,64508.76000,2026.06.14 05:58:00,2026.06.14 05:58:00,0.00,0.00,0.00,
286519894,0,BTCUSD.sc,SELL,0.05,64486.09000,64486.09000,2026.06.14 05:58:54,2026.06.14 05:58:54,-1.14,0.00,0.00,
286577394,0,BTCUSD.sc,SELL,0.05,64557.60000,64557.60000,2026.06.14 12:46:58,2026.06.14 12:46:58,0.00,0.00,0.00,
286579570,0,BTCUSD.sc,SELL,0.01,64608.77000,64608.77000,2026.06.14 12:57:42,2026.06.14 12:57:42,0.00,0.00,0.00,
286581626,0,BTCUSD.sc,BUY,0.05,64519.11000,64519.11000,2026.06.14 13:12:12,2026.06.14 13:12:12,1.92,0.00,0.00,[tp 64517.62]
286581643,0,BTCUSD.sc,BUY,0.01,64510.69000,64510.69000,2026.06.14 13:12:15,2026.06.14 13:12:15,0.98,0.00,0.00,[tp 64516.62]
286596990,0,BTCUSD.sc,SELL,0.01,64548.65000,64548.65000,2026.06.14 15:05:11,2026.06.14 15:05:11,0.00,0.00,0.00,
286597165,0,BTCUSD.sc,BUY,0.01,64522.83000,64522.83000,2026.06.14 15:06:51,2026.06.14 15:06:51,0.26,0.00,0.00,[tp 64525.10]
286615997,0,BTCUSD.sc,BUY,0.01,64324.30000,64324.30000,2026.06.14 17:13:45,2026.06.14 17:13:45,0.00,0.00,0.00,
286615999,0,BTCUSD.sc,BUY,0.01,64324.30000,64324.30000,2026.06.14 17:13:47,2026.06.14 17:13:47,0.00,0.00,0.00,
286616050,0,BTCUSD.sc,BUY,0.01,64323.90000,64323.90000,2026.06.14 17:14:01,2026.06.14 17:14:01,0.00,0.00,0.00,
286617369,0,BTCUSD.sc,BUY,0.01,64323.93000,64323.93000,2026.06.14 17:23:00,2026.06.14 17:23:00,0.00,0.00,0.00,
286618341,0,BTCUSD.sc,SELL,0.01,64248.49000,64248.49000,2026.06.14 17:28:29,2026.06.14 17:28:29,-0.76,0.00,0.00,
286618342,0,BTCUSD.sc,SELL,0.01,64248.49000,64248.49000,2026.06.14 17:28:29,2026.06.14 17:28:29,-0.76,0.00,0.00,
286618343,0,BTCUSD.sc,SELL,0.01,64248.49000,64248.49000,2026.06.14 17:28:29,2026.06.14 17:28:29,-0.76,0.00,0.00,
286618344,0,BTCUSD.sc,SELL,0.01,64248.49000,64248.49000,2026.06.14 17:28:29,2026.06.14 17:28:29,-0.76,0.00,0.00,
286618349,0,BTCUSD.sc,SELL,0.01,64240.03000,64240.03000,2026.06.14 17:28:37,2026.06.14 17:28:37,0.00,0.00,0.00,
286618350,0,BTCUSD.sc,SELL,0.01,64239.73000,64239.73000,2026.06.14 17:28:38,2026.06.14 17:28:38,0.00,0.00,0.00,
286618353,0,BTCUSD.sc,SELL,0.01,64239.01000,64239.01000,2026.06.14 17:28:40,2026.06.14 17:28:40,0.00,0.00,0.00,
286618357,0,BTCUSD.sc,SELL,0.01,64239.01000,64239.01000,2026.06.14 17:28:42,2026.06.14 17:28:42,0.00,0.00,0.00,
286618359,0,BTCUSD.sc,SELL,0.01,64239.01000,64239.01000,2026.06.14 17:28:42,2026.06.14 17:28:42,0.00,0.00,0.00,
286623926,0,BTCUSD.sc,BUY,0.01,63975.70000,63975.70000,2026.06.14 17:35:38,2026.06.14 17:35:38,2.64,0.00,0.00,
286623927,0,BTCUSD.sc,BUY,0.01,63975.70000,63975.70000,2026.06.14 17:35:38,2026.06.14 17:35:38,2.63,0.00,0.00,
286623928,0,BTCUSD.sc,BUY,0.01,63975.70000,63975.70000,2026.06.14 17:35:38,2026.06.14 17:35:38,2.63,0.00,0.00,
286623929,0,BTCUSD.sc,BUY,0.01,63975.70000,63975.70000,2026.06.14 17:35:38,2026.06.14 17:35:38,2.64,0.00,0.00,
286623930,0,BTCUSD.sc,BUY,0.01,63975.70000,63975.70000,2026.06.14 17:35:38,2026.06.14 17:35:38,2.63,0.00,0.00,
286993745,0,BTCUSD.sc,SELL,0.01,65525.98000,65525.98000,2026.06.15 03:46:11,2026.06.15 03:46:11,0.00,0.00,0.00,
286993752,0,BTCUSD.sc,SELL,0.01,65524.04000,65524.04000,2026.06.15 03:46:12,2026.06.15 03:46:12,0.00,0.00,0.00,
287087930,0,BTCUSD.sc,BUY,0.01,65392.42000,65392.42000,2026.06.15 04:04:45,2026.06.15 04:04:45,1.34,0.00,0.00,[tp 65393.37]
287087973,0,BTCUSD.sc,BUY,0.01,65387.09000,65387.09000,2026.06.15 04:04:46,2026.06.15 04:04:46,1.37,0.00,0.00,[tp 65390.00]
287331354,168168,XAUUSD.pc,BUY,0.01,4320.08000,4320.08000,2026.06.15 05:00:58,2026.06.15 05:00:58,0.00,-0.03,0.00,Volatility Rider Buy
287387374,168168,XAUUSD.pc,SELL,0.01,4327.87000,4327.87000,2026.06.15 05:17:25,2026.06.15 05:17:25,7.79,-0.03,0.00,
288444489,168168,XAUUSD.pc,BUY,0.01,4336.94000,4336.94000,2026.06.15 11:32:31,2026.06.15 11:32:31,0.00,-0.03,0.00,Volatility Rider Buy
288501501,168168,XAUUSD.pc,SELL,0.01,4343.16000,4343.16000,2026.06.15 11:43:37,2026.06.15 11:43:37,6.22,-0.03,0.00,
288853803,168168,XAUUSD.pc,BUY,0.01,4346.21000,4346.21000,2026.06.15 14:30:33,2026.06.15 14:30:33,0.00,-0.03,0.00,Volatility Rider Buy
288959530,0,XAUUSD.pc,BUY,0.02,4337.27000,4337.27000,2026.06.15 15:03:02,2026.06.15 15:03:02,0.00,-0.06,0.00,
288982447,0,XAUUSD.pc,BUY,0.02,4336.49000,4336.49000,2026.06.15 15:12:50,2026.06.15 15:12:50,0.00,-0.06,0.00,
289006980,0,XAUUSD.pc,BUY,0.01,4329.16000,4329.16000,2026.06.15 15:17:00,2026.06.15 15:17:00,0.00,-0.03,0.00,
289007124,0,XAUUSD.pc,BUY,0.01,4329.02000,4329.02000,2026.06.15 15:17:02,2026.06.15 15:17:02,0.00,-0.03,0.00,
289010006,0,XAUUSD.pc,BUY,0.01,4326.52000,4326.52000,2026.06.15 15:17:25,2026.06.15 15:17:25,0.00,-0.03,0.00,
289017382,0,XAUUSD.pc,BUY,0.01,4326.66000,4326.66000,2026.06.15 15:18:14,2026.06.15 15:18:14,0.00,-0.03,0.00,
289018526,0,XAUUSD.pc,BUY,0.01,4326.81000,4326.81000,2026.06.15 15:18:37,2026.06.15 15:18:37,0.00,-0.03,0.00,
289043641,0,XAUUSD.pc,SELL,0.01,4334.37000,4334.37000,2026.06.15 15:24:56,2026.06.15 15:24:56,7.56,-0.03,0.00,
289043642,0,XAUUSD.pc,SELL,0.02,4334.37000,4334.37000,2026.06.15 15:24:56,2026.06.15 15:24:56,-4.24,-0.06,0.00,
289043657,168168,XAUUSD.pc,SELL,0.01,4334.25000,4334.25000,2026.06.15 15:24:56,2026.06.15 15:24:56,-11.96,-0.03,0.00,
289043668,0,XAUUSD.pc,SELL,0.01,4334.25000,4334.25000,2026.06.15 15:24:56,2026.06.15 15:24:56,7.59,-0.03,0.00,
289043669,0,XAUUSD.pc,SELL,0.01,4334.25000,4334.25000,2026.06.15 15:24:56,2026.06.15 15:24:56,5.23,-0.03,0.00,
